,0_differences_100_sample_std,2_differences_1000_sample_kurtosis,2_differences_10_sample_mean,0_differences_1000_sample_kurtosis,2_differences_100_sample_kurtosis,0_differences_100_sample_skewness,0_differences_10_sample_skewness,1_differences_10_sample_std,0_differences_10_sample_std,2_differences_100_sample_skewness,1_differences_100_sample_skewness,2_differences_10_sample_skewness,2_differences_100_sample_mean,0_differences_10_sample_kurtosis,1_differences_100_sample_mean,2_differences_10_sample_std,1_differences_1000_sample_kurtosis,1_differences_1000_sample_mean,1_differences_100_sample_kurtosis,0_differences_1000_sample_skewness,2_differences_10_sample_kurtosis,2_differences_100_sample_std,1_differences_100_sample_std,2_differences_1000_sample_skewness,2_differences_1000_sample_std,0_differences_1_sample_mean,1_differences_1_sample_mean,0_differences_1000_sample_mean,2_differences_1_sample_mean,1_differences_10_sample_kurtosis,1_differences_10_sample_mean,0_differences_100_sample_mean,1_differences_1000_sample_std,1_differences_10_sample_skewness,2_differences_1000_sample_mean,0_differences_1000_sample_std,0_differences_10_sample_mean,0_differences_100_sample_kurtosis,1_differences_1000_sample_skewness
Always,10.666526942274837,3.1820533618570312,0.003739999999999999,2.980832032288926,2.44279578601773,-0.259022445361882,-0.35524321113021945,0.08654899192236602,0.6434988034802828,-0.03820595458273302,0.037248026248914795,0.358628446908207,0.00373999999999999,1.91163291384463,0.004161666666666669,0.07723012552682333,3.0925192530340864,0.004161666666666644,2.5687898561858806,0.04801230623366271,2.111256884699405,0.9993701809195185,1.0503711054392475,-0.08404784450267296,8.795716070347984,0.07174833333333333,0.004161666666666667,0.0717483333333337,0.00374,2.170486937808463,0.004161666666666668,0.0717483333333333,9.586058718262423,0.14335233837782288,0.0037399999999999773,98.46913682140035,0.07174833333333333,2.806546136881506,-0.06922947120748811
Apartment,64.09773529905654,5.120313274328896,-0.016176666666666666,38.30298279838854,4.347153275425007,-1.0877992648233095,-2.2875013223320004,0.12506831195612883,7.9662289942085796,0.07522640611660271,0.22883301235748943,0.2321189076651659,-0.016176666666666676,6.964839268836682,-0.0015866666666666685,0.11723859887710475,12.623698491212787,-0.0015866666666666022,6.10322595557075,0.38958513170487113,2.1525123594219178,1.0876312701922468,0.9857271941961314,-0.01584846994723929,9.8807106066939,-1.098155,-0.0015866666666666666,-1.098155000000002,-0.016176666666666666,2.4286393346379453,-0.0015866666666666696,-1.0981549999999998,8.89436461157288,-0.468625561714104,-0.01617666666666666,783.358001425784,-1.0981549999999998,16.018978962897425,0.13573929412489052
Arabella,658.1761515298177,6.957466423694817,0.0017616666666666672,9.383614397071016,3.274090895753578,0.366527776258459,-0.20001513723142927,0.08107692850688851,51.03847270550357,0.2361576111464977,-0.060558377693004616,0.8646499318064677,0.0017616666666666735,1.3705294947383142,0.0021383333333333965,0.026376173012356775,7.605348241595786,0.002138333333333314,4.4511327454905105,0.7201470534001257,3.0319537250328716,0.4284767660335337,1.8395577570974015,0.3206142945738346,4.379339754825746,-37.471396666666664,0.0021383333333333332,-37.471396666666685,0.0017616666666666666,3.368198859761231,0.0021383333333333337,-37.471396666666664,19.907535809539212,-0.86670439152057,0.0017616666666666512,5130.838310974488,-37.471396666666664,5.627342500946847,-0.3513561754738336
Arlandria,308.57333143983635,3.1250488053836767,0.0009800000000000004,8.84518701019653,2.644305500065265,-0.16484828389325243,-0.7358444089379329,0.1761078119994176,24.753523924487613,-0.09882049782438332,-0.1149825560773378,0.619392754948203,0.0009800000000000164,4.49367824428055,0.007738333333333342,0.23055026492189412,4.273401236309988,0.0077383333333334295,2.5436238506315663,0.06211259671253928,1.791966958351409,2.4478831472065363,2.2480310028080375,-0.11437585776260689,25.312437315711467,-0.7227916666666667,0.007738333333333333,-0.7227916666666515,0.00098,2.8049150028268928,0.007738333333333336,-0.7227916666666638,30.484489180271435,0.5374338828074231,0.0009799999999997872,3734.12978232454,-0.722791666666666,4.018336294003451,-0.020160026343128246
Arnold,23.855499007011872,13.008925015095365,-0.00039333333333333305,11.469250069248444,5.394645547583028,-0.01588436312671463,-0.6969471702831757,0.11104170869292512,3.5240884554480503,0.08698611051768897,0.5866699455112613,0.3295912181863075,-0.00039333333333335094,2.603076573784875,-0.0005083333333333299,0.06156185516300748,22.02551604337153,-0.0005083333333332441,8.607725079883792,-0.02275599077339269,1.7284105055689585,0.7903776029777722,1.2850704685336218,-0.02469578839390642,9.062709117940397,-0.21503,-0.0005083333333333333,-0.21503000000000008,-0.0003933333333333333,3.1164684435629058,-0.0005083333333333329,-0.21502999999999986,12.760243119633449,-0.3946578961073062,-0.000393333333333274,258.5589349075504,-0.21503,4.570300200752494,0.7565675504984749
Ausmusic Month Medley {Like A Version},11.892854294411414,9.295757736880036,-0.00012333333333333329,16.89373602029455,7.2990985103776325,0.7489069800134496,1.083881540415081,0.014872402574343304,5.254969984303748,0.38286924104515097,-0.39351912096590197,0.94162741496765,-0.00012333333333333445,3.0379346104985285,-0.00018500000000000086,0.01027078975649985,101.20410391969062,-0.00018500000000000994,24.81247173960565,-0.6042902483247359,3.663698855619965,0.09890152122186999,0.30915649659373345,-0.09073446149464708,0.8620974141334352,3.795036666666667,-0.000185,3.7950366666666664,-0.00012333333333333334,1.868639266926204,-0.00018499999999999927,3.7950366666666664,3.556262334358223,-0.2444557780075671,-0.0001233333333333373,75.92105818215823,3.795036666666667,7.409398979929465,-1.3451579349932847
Australia Street,224.93574709511105,3.925880525454195,-0.0011750000000000003,2.3017766763760705,2.631910512159725,-0.33783127259569856,0.040476562524623956,0.10956257238065684,24.62301989494818,-0.24987381106369777,0.3512593891135434,0.058330703332680936,-0.0011749999999999987,1.6056139973510852,0.011963333333333341,0.016173493833361356,2.600476664327343,0.011963333333333541,2.9288147971874117,-0.2343329849727738,1.9301460287656393,0.1502176982748704,1.0397509759499575,-0.005785010983040614,1.6019537741067937,1.178625,0.011963333333333333,1.178625000000025,-0.001175,2.4611907241122624,0.011963333333333334,1.178625000000001,13.303519232009,0.8168403192227299,-0.0011749999999999968,2862.6371084331277,1.1786250000000007,3.019583788905907,-0.2949214155690495
Awkward,46.41088996723897,39.79638392728195,0.0014816666666666665,66.9257370440387,16.42874603683162,-0.6119153064626234,-1.7866997321226512,0.08919037497896783,7.746208212134969,2.135397901784747,-0.27959945120340585,0.5819215801214177,0.0014816666666666656,5.78236262120495,0.0010533333333333395,0.006776902971777661,12.382826560928077,0.001053333333333306,3.8266555616974083,0.7348161889271221,2.033017235496894,0.09362433175848157,0.7921035502873206,1.0420679552613732,1.1308468713006883,-1.184485,0.0010533333333333334,-1.1844850000000038,0.0014816666666666667,1.8737976431826349,0.0010533333333333354,-1.1844850000000002,7.231394373105216,-0.040508389519564904,0.00148166666666667,669.3260138498974,-1.184485,13.638948206636993,-0.05103077250112388
Baby I Am Nobody Now,182.11291166848076,5.3454086321601615,-0.0030199999999999997,2.3140717782546325,3.0576789550263586,-0.49468470261985625,-0.3324219219659676,0.15099339411598994,17.69336601567763,-0.43320189686942123,0.06923044622781893,0.5980185481554043,-0.0030199999999999984,2.9766861660580823,0.013026666666666648,0.051734479046591564,2.8830049573399,0.013026666666666738,2.354257093614739,-0.6366424588567302,2.749250569711862,0.6645550479999547,1.6171596146604976,-0.13008960291211433,5.175501730550704,14.296358333333334,0.013026666666666667,14.296358333333332,-0.00302,2.248558195589566,0.013026666666666669,14.296358333333332,12.776628338074522,-0.317464210788222,-0.0030200000000000404,1796.4353644821742,14.296358333333334,2.5646845697210616,-0.0564514281279834
Bali Party (feat. Nfa),224.78842305870046,5.571708851838256,-0.0035933333333333316,5.702841376113811,3.048622227553197,-0.2978911585578955,-0.25197717154064453,0.14079611915619142,21.759954454095322,0.0033945109442311758,0.442615903663341,-0.7344160568635184,-0.003593333333333333,1.9028591519310687,-0.024021666666666625,0.05621010101001025,6.188251058072705,-0.02402166666666674,4.0699277295726395,-0.10004956133679262,2.304780578729132,0.7077753258234173,2.0481748686540686,-0.07290925080702158,9.006923820913183,-1.0481516666666666,-0.024021666666666667,-1.0481516666666493,-0.0035933333333333334,2.1872162198294096,-0.02402166666666667,-1.04815166666667,21.783792653817898,-0.07569215880814899,-0.003593333333333305,2939.3077225123257,-1.0481516666666668,3.650557237690451,0.11754977517769497
